ap07_No_disponible;¿Tu(s) madre(s) o padre(s) son afrodescendientes? - No disponible
ap07_Multimarca;¿Tu(s) madre(s) o padre(s) son afrodescendientes? - Multimarca
ap07_Sí;¿Tu(s) madre(s) o padre(s) son afrodescendientes? - Sí
ap07_No;¿Tu(s) madre(s) o padre(s) son afrodescendientes? - No
ap07_No_sé;¿Tu(s) madre(s) o padre(s) son afrodescendientes? - No sé
ap08_Blanco;Contándote a vos, ¿con cuántas personas vivís? - Blanco
ap08_No_disponible;Contándote a vos, ¿con cuántas personas vivís? - No disponible
ap08_Vivo_solo_a;Contándote a vos, ¿con cuántas personas vivís? - Vivo solo/a
ap08_2;Contándote a vos, ¿con cuántas personas vivís? - 2
ap08_3;Contándote a vos, ¿con cuántas personas vivís? - 3
ap08_4;Contándote a vos, ¿con cuántas personas vivís? - 4
ap08_5;Contándote a vos, ¿con cuántas personas vivís? - 5
ap08_6;Contándote a vos, ¿con cuántas personas vivís? - 6
ap08_7;Contándote a vos, ¿con cuántas personas vivís? - 7
ap08_8;Contándote a vos, ¿con cuántas personas vivís? - 8
ap08_9;Contándote a vos, ¿con cuántas personas vivís? - 9
ap08_10_o_más;Contándote a vos, ¿con cuántas personas vivís? - 10 o más
ap09a_Blanco;¿Con quién o quiénes vivís? Madre - Blanco
ap09a_No_disponible;¿Con quién o quiénes vivís? Madre - No disponible
ap09a_No_selecciona;¿Con quién o quiénes vivís? Madre - No selecciona
ap09a_Selecciona;¿Con quién o quiénes vivís? Madre - Selecciona
ap09b_Blanco;¿Con quién o quiénes vivís? Padre - Blanco
ap09b_No_disponible;¿Con quién o quiénes vivís? Padre - No disponible
ap09b_No_selecciona;¿Con quién o quiénes vivís? Padre - No selecciona
ap09b_Selecciona;¿Con quién o quiénes vivís? Padre - Selecciona
ap09c_Blanco;¿Con quién o quiénes vivís? Madre - Blanco
ap09c_No_disponible;¿Con quién o quiénes vivís? Madre - No disponible
ap09c_No_selecciona;¿Con quién o quiénes vivís? Madre - No selecciona
ap09c_Selecciona;¿Con quién o quiénes vivís? Madre - Selecciona
ap09d_Blanco;¿Con quién o quiénes vivís? Padre - Blanco
ap09d_No_disponible;¿Con quién o quiénes vivís? Padre - No disponible
ap09d_No_selecciona;¿Con quién o quiénes vivís? Padre - No selecciona
ap09d_Selecciona;¿Con quién o quiénes vivís? Padre - Selecciona
ap09e_Blanco;¿Con quién o quiénes vivís? Pareja de mi madre/ padre - Blanco
ap09e_No_disponible;¿Con quién o quiénes vivís? Pareja de mi madre/ padre - No disponible
ap09e_No_selecciona;¿Con quién o quiénes vivís? Pareja de mi madre/ padre - No selecciona
ap09e_Selecciona;¿Con quién o quiénes vivís? Pareja de mi madre/ padre - Selecciona
ap09f_Blanco;¿Con quién o quiénes vivís? Hija(s) o hijo(s) - Blanco
ap09f_No_disponible;¿Con quién o quiénes vivís? Hija(s) o hijo(s) - No disponible
ap09f_No_selecciona;¿Con quién o quiénes vivís? Hija(s) o hijo(s) - No selecciona
ap09f_Selecciona;¿Con quién o quiénes vivís? Hija(s) o hijo(s) - Selecciona
ap09g_Blanco;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) menor(es) - Blanco
ap09g_No_disponible;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) menor(es) - No disponible
